,AVG_KD,SIG_STR_PCT,TD_PCT,HEAD_PCT,LEG_PCT,clusters,cluster
2433,0.25,0.425,0.25,0.492957746,0.0,2,dark purple
2434,0.0,0.375,0.5,0.6,0.0,2,dark purple
2435,0.0625,0.375,0.125,0.164485981,0.49742268,0,pink
2436,0.0,0.0,0.0,0.0,0.0,2,dark purple
2437,0.0,0.0,0.0,0.0,0.0,2,dark purple
2438,0.0,0.45,0.5,0.327586207,1.0,0,pink
2439,0.25,0.3925,0.125,0.430555556,1.0,0,pink
2440,0.0,0.0,0.0,0.0,0.0,2,dark purple
2441,0.125,0.2975,0.3125,0.398406375,0.666666667,0,pink
2442,0.0,0.0,0.0,0.0,0.0,2,dark purple
2443,0.0,0.395625,0.5025,0.466882068,0.75,0,pink
2444,0.0,0.52,0.33,0.307692308,0.6,0,pink
2445,0.25,0.55046875,0.18453125,0.516822879,0.950957854,0,pink
2446,0.0,0.0,0.0,0.0,0.0,2,dark purple
2447,0.0,0.0,0.0,0.0,0.0,2,dark purple
2448,0.0,0.5759375,0.1840625,0.5996997,1.0,0,pink
2449,0.0,0.57125,0.5,0.555555556,0.0,2,dark purple
2450,0.0,0.61375,0.25,0.75,0.333333333,0,pink
2451,0.063476563,0.550625,0.325351563,0.501621284,1.0,0,pink
2452,0.0,0.5,0.5,0.47826087,1.0,0,pink
2453,0.25,0.43875,0.25,0.525252525,0.0,2,dark purple
2454,0.0,0.0,0.0,0.0,0.0,2,dark purple
2455,0.0,0.0,0.0,0.0,0.0,2,dark purple
2456,0.0,0.511875,0.228125,0.551282051,1.0,0,pink
2457,0.0,0.51,0.5,0.483870968,0.0,2,dark purple
2458,0.0,0.5296875,0.484375,0.550970874,0.958333333,0,pink
2459,0.126953125,0.59125,0.150703125,0.483238259,1.0,0,pink
2460,0.0,0.435,0.5,0.869565217,0.0,0,pink
2461,0.0,0.69,0.5,0.75,0.0,0,pink
2462,0.0,0.0,0.0,0.0,0.0,2,dark purple
2463,0.0,0.0,0.0,0.0,0.0,2,dark purple
2464,0.0,0.381425781,0.109082031,0.248984282,0.769505924,0,pink
2465,0.0,0.64875,0.3125,0.521276596,0.823529412,0,pink
2466,0.25,0.485,0.25,0.392857143,0.25,0,pink
2467,0.0,0.905,0.5,0.823529412,1.0,0,pink
2468,0.0703125,0.408359375,0.1796875,0.242976067,0.590559824,0,pink
2469,0.015625,0.515,0.205625,0.434667373,1.0,0,pink
2470,0.0,0.5534375,0.3540625,0.608378871,0.894736842,0,pink
2471,0.0,0.825625,0.46875,0.886792453,1.0,0,pink
2472,0.0,0.614375,0.46875,0.641304348,0.9375,0,pink
2473,0.03125,0.505,0.41125,0.68161435,1.0,0,pink
2474,0.0,0.47875,0.4375,0.522727273,0.75,0,pink
2475,0.0,0.0,0.0,0.0,0.0,2,dark purple
2476,0.0,0.0,0.0,0.0,0.0,2,dark purple
2477,0.0,0.275,0.5,0.416666667,0.0,2,dark purple
2478,0.0,0.575,0.25,0.5,1.0,0,pink
2479,0.0,0.67125,0.4375,0.647058824,1.0,0,pink
2480,0.0,0.0,0.0,0.0,0.0,2,dark purple
2481,0.0625,0.5175,0.35375,0.602564103,1.0,0,pink
2482,0.0,0.556875,0.208125,0.466165414,0.818181818,0,pink
2483,0.0,0.0,0.0,0.0,0.0,2,dark purple
2484,0.0,0.4471875,0.4296875,0.433380084,0.52238806,0,pink
2485,0.0,0.0,0.0,0.0,0.0,2,dark purple
2486,0.0,0.0,0.0,0.0,0.0,2,dark purple
2487,0.0,0.4275,0.3325,0.484848485,1.0,0,pink
2488,0.125,0.455,0.395,0.429530201,0.0,2,dark purple
2489,0.125,0.53,0.25,0.355555556,0.675925926,0,pink
